023;1001;01/07/2022
156;1002;03/08/2022
101;1002;12/08/2022
056;1014;22/08/2022
123;1011;26/08/2022
283;1010;24/08/2022
289;1002;01/09/2022
076;1001;03/09/2022
245;1008;09/09/2022
165;1013;06/09/2022
292;1013;09/08/2022
111;1012;11/09/2022
222;1003;15/08/2022
255;1003;13/09/2022
190;1004;15/09/2022
011;1001;17/09/2022
234;1007;20/09/2022
005;1004;23/09/2022
199;1004;26/09/2022
288;1004;29/09/2022
100;1002;01/10/2022
202;1005;03/10/2022
144;1004;06/10/2022
258;1005;09/10/2022
099;1008;12/10/2022
209;1001;15/10/2022
275;1006;18/10/2022
003;1002;21/10/2022
077;1004;24/10/2022
277;1007;27/10/2022
110;1002;30/10/2022
213;1001;02/11/2022
021;1003;05/11/2022
266;1004;08/11/2022
233;1009;11/11/2022
058;1002;14/11/2022
121;1001;17/11/2022
199;1014;20/11/2022
035;1013;23/11/2022
087;1004;26/11/2022
193;1002;29/11/2022
299;1002;02/12/2022
044;1001;05/12/2022
001;1003;08/12/2022
112;1009;11/12/2022
054;1012;14/12/2022
167;1006;17/12/2022
279;1001;20/12/2022
250;1001;23/12/2022
109;1011;26/12/2022
086;1008;29/12/2022
